fid,group_num,breakdown_is_C,breakdown_is_T,breakdown_is_Q,is_constant,has_minus,skewness,kurtosis,top_1_proportion,top_2_proportion,top_3_proportion,normalized_coefficient_variation,entropy,reci_entropy,chi_2_s,chi_2_p,chi_2_p_005,gini_coeff,normal_s,normal_p,normal_p_005,powerlaw_s,powerlaw_p,powerlaw_p_005,percent_3sigma,percent_15iqr,percent_grubbs,outliers_mean_zscore,lof_index,is_Outliers,is_Distributions,is_Correlations,chart_type
JDickson835:0,2336.0,True,False,False,False,False,-1.2354814972543011,3.5709685659393875,0.000509913802484,0.0010115934636745,0.0015132731248651,0.2831386169752468,7.755638930800755,0.1289384419417204,58.19453585879032,1.0,False,0.0163291059573354,0.812313437461853,0.0,True,0.4717465753424658,2.281857043093035e-235,True,0.00245098039215675,0.0710616438356164,0.0,3.154015897532724,1.5716867170891404,True,True,False,line_single
daynomccaull:90,99.0,True,False,False,False,False,2.402315179414465,3.747796654608927,0.1480377068103116,0.2959150955495703,0.4437604206746183,1.675798293182126,2.171550996522326,0.4605003527899967,34.64371644863407,0.9999999996312974,False,0.9254306984989448,0.6550478860735893,3.1366520806948885e-19,True,0.0,0.0,0,0.00245098039215675,0.088235294117647,0.0,3.6964777472147663,1.0338736625220697,True,True,False,line_single
daynomccaull:85,84.0,True,False,False,False,False,2.402315179414465,3.747796654608927,0.1945715638314659,0.3728367787070643,0.5210141497028036,1.675798293182126,2.443026022984569,0.4093284273649819,16.1333827520909,1.0,False,0.8933566634826594,0.6550478860735893,5.71721100489296e-17,True,0.0,0.0,0,0.00245098039215675,0.088235294117647,0.0,4.664530780355272,1.216771805012363,True,True,False,line_single
daynomccaull:105,85.0,True,False,False,False,True,2.402315179414465,3.747796654608927,0.0,0.0,0.0,1.675798293182126,0.0,0.0,-7738.2220043771495,1.0,False,0.929867523663709,0.6550478860735893,5.779248723653825e-18,True,0.0,0.0,0,0.00245098039215675,0.088235294117647,0.0,4.16398529747262,0.9866641016872856,True,True,False,line_single
BDS.Map:604,220.0,True,False,False,False,False,-0.5512369151998,0.1120802004724232,0.0092385968044273,0.0184325627064179,0.0274033740962242,0.4313625581704904,5.278752633993569,0.1894386930655365,8175.39177006159,0.0,True,0.2238002400855298,0.8840229511260986,5.8802316314776615e-12,True,0.2863636363636364,2.3645751568830282e-08,True,0.0,0.009090909090909,0.0,0.0,0.7331398374093513,True,True,False,line_single
lincw6666:20,24.0,True,False,False,False,False,-0.432297273906394,-1.3472567255732697,0.0484991867514416,0.0969983735028833,0.1454975602543249,0.630046237502464,3.167275759674551,0.3157287447881562,14.192739908324707,0.9212186948417128,False,0.0810352897710808,0.8624569177627563,0.00032744690543025,True,0.4583333333333333,0.0119654316062627,True,0.0,0.0,0.0,0.0,0.0,False,True,False,line_single
lincw6666:8,22.0,True,False,False,False,True,-0.4870454178828542,-0.7442572024986114,0.0,0.0,0.0,0.454926424111327,0.0,0.0,-3.374900398406377,1.0,False,0.2551822162641789,0.9284315705299376,0.00032744690543025,False,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3843517851867567,False,True,False,line_single
jesuisnuageux:2,12.0,True,False,False,False,False,-0.2015996689834964,-1.5271423685523302,0.1174303816119051,0.2330926771769559,0.3477235892146751,0.6769831701652317,2.42536998242981,0.4123082281236817,76.55333726241344,6.8188663844477495e-12,True,0.1898359605700066,0.8875576853752136,0.00032744690543025,False,0.4166666666666667,0.2557751845677543,False,0.0,0.0,0.0,0.0,0.0394894903281951,False,True,False,line_single
alexguanga:8,5.0,True,False,False,False,False,1.0309266365868357,-0.527792285469189,0.2742791478135934,0.47697374136420884,0.6615796132369338,1.2059211723824288,1.5902400873361933,0.6288358644480515,0.0563038314180787,0.9996110939764932,False,0.1019305328404855,0.809215247631073,0.00032744690543025,False,0.4,0.873015873015873,False,0.0,0.088235294117647,0.0,0.0,0.1212356106895363,True,True,False,line_single
glen201:7,1824.0,True,False,False,False,False,2.402315179414465,3.747796654608927,0.0143276960195762,0.0242130058431386,0.0338295998993745,1.675798293182126,6.787328534560081,0.1473333720193662,13246.633340766113,0.0,True,0.5222386803929758,0.6550478860735893,0.0,True,0.5142543859649122,3.164028728033735e-220,True,0.00245098039215675,0.088235294117647,0.0,4.495087478829502,3.992294987736944,True,True,False,line_single
glen201:2,2475.0,True,False,False,False,True,-1.3508018574136098,3.747796654608927,0.0,0.0,0.0,0.1344165885172324,0.0,0.0,-7738.2220043771495,1.0,False,0.0185426307259521,0.6550478860735893,0.0,True,0.0,0.0,0,0.00245098039215675,0.088235294117647,0.0,6.959043620754555,8.216794602550124,True,True,False,line_single
Nuha:12,12.0,True,False,False,False,False,-0.1547339518895408,-1.5267531195326671,0.1175965665236051,0.2340486409155937,0.3492131616595135,0.6179412816624698,2.4256919456649464,0.4122535022582488,78.80017167381973,2.5165391842615407e-12,True,0.1896041961456484,0.8962216377258301,0.00032744690543025,False,0.4166666666666667,0.2557751845677543,False,0.0,0.0,0.0,0.0,0.0738955752984471,False,True,False,line_single
prothomrobi:38,7.0,True,False,False,False,False,1.9284877626249508,1.9265807267856931,0.1549575472908358,0.2970506674214251,0.4384156808742054,1.5084756669118706,1.945309343617544,0.5140570589870174,0.2154369964456593,0.9998078110079978,False,0.0146193397810694,0.6550478860735893,0.00032744690543025,True,0.4285714285714285,0.5751748251748252,False,0.0,0.088235294117647,0.0,0.0,0.0223933645047631,True,True,False,line_single
TahirAnny:14,7.0,True,False,False,False,False,1.9260705658457304,1.9042551224575772,0.155237184805039,0.2977885627514689,0.4388831366506345,1.6588689686629372,1.9452804519808216,0.5140646938500459,0.225911915360676,0.9997792561497094,False,0.0149492718211319,0.6550478860735893,0.0002913232019636,True,0.4285714285714285,0.5751748251748252,False,0.0,0.088235294117647,0.0,0.0,0.0289080830760525,True,True,False,line_single
